G1 X0	Y0	Z0	A0 B0 C0,
G1 X10	Y10	Z10	A10 B10 C10,
G1 X20	Y20	Z20	A20 B20 C20,
G1 X30	Y30	Z30	A30 B30 C30,
G1 X40	Y40	Z40	A40 B40 C40,
G1 X50	Y50	Z50	A50 B50 C50,
G1 X60	Y60	Z60	A60 B60 C60,
G1 X70	Y70	Z70	A70 B70 C70,
G1 X80	Y80	Z80	A80 B80 C80,
G1 X90	Y90	Z90	A90 B90 C90,
G1 X100	Y100	Z100	A100 B100 C100,
G1 X110	Y110	Z110	A110 B110 C110,
G1 X120	Y120	Z120	A120 B120 C120,
G1 X130	Y130	Z130	A130 B130 C130,
G1 X140	Y140	Z140	A140 B140 C140,
G1 X150	Y150	Z150	A150 B150 C150,
G1 X160	Y160	Z160	A160 B160 C160,
G1 X170	Y170	Z170	A170 B170 C170,
G1 X180	Y180	Z180	A180 B180 C180,
G1 X190	Y190	Z190	A190 B190 C190,
G1 X200	Y200	Z200	A200 B200 C200,
G1 X210	Y210	Z210	A210 B210 C210,
G1 X220	Y220	Z220	A220 B220 C220,
G1 X230	Y230	Z230	A230 B230 C230,
G1 X240	Y240	Z240	A240 B240 C240,
G1 X250	Y250	Z250	A250 B250 C250
